t,left_input,right_input,6743,37580,57553,108826,motor_left,motor_right,speed_um_s,turn_rad_s,x_um,y_um
16.5,0.5870811773009729,0.08927967564837211,0.6672860424910582,0.3763858402828509,0.03799043154367759,0.00382940753563145,0.002599522772727458,0.0048923510726205065,7.179804972288351,0.0055027879197433165,-13.256140404258531,-111.67401542296557
16.6,0.5873079308735935,0.08930347781006825,0.6724626493584893,0.41834083586466203,0.05118811679311417,0.0070396084029159195,0.004886562072270816,0.009006275303526016,7.333428097019124,0.00988731175501248,-13.340373516670297,-112.37636289579314
16.7,0.5876261032295133,0.08933421652739991,0.6747517313382159,0.4489525659028583,0.06469875866794202,0.011510480589775298,0.008168373442621593,0.01468792528201038,7.5485511693911675,0.015646924414533084,-13.427164901522701,-113.09725786929766
16.8,0.5880492405327788,0.08937237378350159,0.6758746511004678,0.47119339745591776,0.07835042409809007,0.017300593910095603,0.012545638969324813,0.021957107483544864,7.828065914868872,0.022587524434128124,-13.517144787671896,-113.84302317727452
16.9,0.5885886429348707,0.08941857261246111,0.6765578953804111,0.4873606441247682,0.09207728183011687,0.0244109831135127,0.018077738587963785,0.03075272439644977,8.171931111625925,0.030419965940366365,-13.610799348120963,-114.6201287570675
17,0.5892525491058801,0.08947357552388983,0.6771099496587911,0.49915778782999437,0.10586380137882628,0.03279867005937262,0.02478751832833956,0.04095772063363568,8.577885735087406,0.03880848553271069,-13.708410766946145,-115.43494161500621
17.1,0.5900458421874413,0.08953827914679126,0.6776627112235416,0.5078226225961707,0.11971415963886164,0.042389580434032396,0.032667167226613475,0.052421598785940327,9.042130384301291,0.047410635742384445,-13.810015717819624,-116.29354312434043
17.2,0.5909702229856476,0.08961370659578932,0.6782726006587013,0.5142458479576233,0.13363693141427915,0.05308961702039399,0.04168419268386723,0.06497857412544372,9.559906403423462,0.05590651545978358,-13.915382672712894,-117.20160603264685
17.3,0.5920247457595593,0.0897009985266156,0.6789630877216039,0.5190658046435274,0.14763819255147742,0.06479344385107011,0.051786921910088136,0.07846091972692505,10.125948199288317,0.0640175947604086,-14.024006984992411,-118.16431957974146
17.400000000000002,0.5932065880025141,0.08980140339406162,0.6797428082919031,0.522739570387525,0.16171888464181566,0.07739099896106384,0.06290925500861419,0.09270787093080951,10.734811022546168,0.07151667821326876,-14.135121572661774,-119.18635059865119
17.5,0.5945119249294665,0.08991626708828336,0.6806135291880441,0.5255947322976467,0.17587415208385077,0.0907720006213222,0.07497458891114138,0.10757084620045436,11.381090442678298,0.07823101749435114,-14.24772031829525,-120.27182977384564
17.6,0.5959367959063795,0.09004702190127373,0.6815738771816726,0.5278665389013035,0.1900934896184606,0.10482881868627042,0.08789894857254547,0.12291585933079811,12.059555389680245,0.08404058581980633,-14.360591004442995,-121.42435431020976
17.7,0.5974778764786636,0.09019517464661875,0.682621265119171,0.5297243906008268,0.2043611663666256,0.11945810198380973,0.10159342484574091,0.13862395688749285,12.76521716159761,0.08887327690020465,-14.472354650919442,-122.64700047961605
17.8,0.5991330992506761,0.09036229370124477,0.6837530022643145,0.531290695045693,0.2186567164065726,0.13456152196038867,0.11596604492213851,0.15459039274829245,13.493354504090343,0.09269843478276946,-14.58150840891949,-123.94234150922057
17.900000000000002,0.6009020946332699,0.09054999473867106,0.6849669839105911,0.5326542984667318,0.23295543831583776,0.15004593779158498,0.1309232045259351,0.1707231007406417,14.239511326397842,0.09551975091529587,-14.686469588622003,-125.31246790559908
18,0.6027864454428467,0.09075992496393107,0.6862621191374986,0.5338800714753908,0.24722890767096414,0.16582322545587477,0.14637078076357002,0.18694087806600668,14.99947981190984,0.09736823352584797,-14.785618863349555,-126.75900854281144
18.1,0.6047897663151276,0.09099374572896002,0.6876385658050675,0.5350157637133682,0.261445523314206,0.18180995253890198,0.1622150270962471,0.2031715626365842,15.769278153587951,0.09829568529680903,-14.8773411439347,-128.28315171681152
18.2,0.6069176299720118,0.0912531134946368,0.6890978105374703,0.5360969109226058,0.2755711050866224,0.19792702667433654,0.17836333143245273,0.21935038257931816,16.5451291362825,0.09836892275247704,-14.96006301799298,-129.88566594620352
18.3,0.6091773683719466,0.09153965920417273,0.6906426219791774,0.5371503458188173,0.2895695503527368,0.21409940037272002,0.19472489735651058,0.2354185759535904,17.32344335944242,0.09766482863299154,-15.032285987239447,-131.56692064671097
18.400000000000002,0.6115777788153104,0.09185496623532043,0.6922769032224031,0.5381967024025064,0.3034035450864409,0.2302558786650241,0.21121138856739455,0.25132232022835604,18.100809011098015,0.09626623598630758,-15.092615012573788,-133.32690698335955
18.5,0.6141287643191597,0.09220054719942025,0.6940054683830674,0.5392521909054233,0.31703531526298756,0.24632904780819975,0.2277375586853366,0.2670119703454689,18.87398869673933,0.09425858798431756,-15.139782099372042,-135.1652592589212
